ID,Player,Pos,Goals2019,Shots2019,Sh2019,Goals2020,Shots2020,Sh2020,id
8479977,Kailer Yamamoto,R,7,39,0.179487179,7,64,0.109375,164
8477935,Sam Bennett,C,8,71,0.112676056,7,88,0.079545455,165
8476468,J.T. Miller,C,18,114,0.157894737,7,70,0.1,166
8478067,Oskar Lindblom,L,8,57,0.140350877,7,50,0.14,167
8474037,James van Riemsdyk,L,15,107,0.140186916,7,91,0.076923077,168
8474564,Steven Stamkos,C,13,94,0.138297872,6,51,0.117647059,169
8481554,Kaapo Kakko,R,7,84,0.083333333,6,73,0.082191781,170
8477989,Christian Dvorak,C,10,97,0.103092784,6,68,0.088235294,171
8478462,Nicolas Roy,C,4,39,0.102564103,6,50,0.12,172
8474189,Lars Eller,C,10,113,0.088495575,6,49,0.12244898,173
8475768,Jaden Schwartz,L,10,114,0.087719298,6,57,0.105263158,174
8477482,Zach Sanford,L,14,86,0.162790698,6,51,0.117647059,175
8470621,Corey Perry,R,4,60,0.066666667,6,46,0.130434783,176
8477429,Andrew Copp,C,10,101,0.099009901,6,82,0.073170732,177
8477508,Curtis Lazar,C,3,27,0.111111111,6,46,0.130434783,178
8477930,Pierre-Edouard Bellemare,C,7,77,0.090909091,6,53,0.113207547,179
8475791,Taylor Hall,L,9,153,0.058823529,6,97,0.06185567,180
8477021,Alexander Kerfoot,C,8,70,0.114285714,6,59,0.101694915,181
8474009,Nick Bonino,C,16,81,0.197530864,6,49,0.12244898,182
8476432,Boone Jenner,C,7,147,0.047619048,6,71,0.084507042,183
8477951,Nick Schmaltz,C,9,79,0.113924051,6,72,0.083333333,184
8476880,Tom Wilson,R,9,105,0.085714286,6,57,0.105263158,185
8474091,Brandon Sutter,C,5,61,0.081967213,6,51,0.117647059,186
8474870,Tyler Johnson,C,12,90,0.133333333,6,64,0.09375,187
8479675,Trevor Moore,C,5,53,0.094339623,6,73,0.082191781,188
8477353,Tyler Motte,C,4,33,0.121212121,6,38,0.157894737,189
8478046,Danton Heinen,L,7,82,0.085365854,6,59,0.101694915,190
8479293,Brandon Tanev,L,6,78,0.076923077,6,37,0.162162162,191
8476822,Luke Glendening,C,3,61,0.049180328,6,61,0.098360656,192
8477946,Dylan Larkin,C,12,160,0.075,6,98,0.06122449,193
8477478,William Carrier,L,7,98,0.071428571,6,63,0.095238095,194
8470047,Valtteri Filppula,C,4,50,0.08,6,20,0.3,195
8479351,Sam Steel,C,5,64,0.078125,6,37,0.162162162,196
8479335,Rasmus Asplund,C,1,30,0.033333333,6,33,0.181818182,197
8477503,Max Domi,C,12,132,0.090909091,6,75,0.08,198
8476410,Josh Leivo,L,6,59,0.101694915,6,49,0.12244898,199
8475784,Jeff Skinner,L,14,146,0.095890411,6,101,0.059405941,200
8477451,Ryan Hartman,R,8,104,0.076923077,6,59,0.101694915,201
8478400,Colin White,C,5,64,0.078125,5,57,0.087719298,202
8476469,Joel Armia,R,10,122,0.081967213,5,60,0.083333333,203
8477450,Jason Dickinson,C,9,75,0.12,5,62,0.080645161,204
8474683,Derek Grant,C,7,69,0.101449275,5,55,0.090909091,205
8477476,Artturi Lehkonen,L,12,120,0.1,5,69,0.072463768,206
8473994,Jamie Benn,L,8,111,0.072072072,5,89,0.056179775,207
8477903,Garnet Hathaway,R,8,76,0.105263158,5,58,0.086206897,208
8478075,Anders Bjork,L,8,59,0.13559322,5,34,0.147058824,209
8480762,Eric Robinson,L,7,69,0.101449275,5,68,0.073529412,210
8471676,Bobby Ryan,R,4,31,0.129032258,5,51,0.098039216,211
8479999,Casey Mittelstadt,C,3,26,0.115384615,5,45,0.111111111,212
8473422,Nick Foligno,L,8,104,0.076923077,5,68,0.073529412,213
8480039,Martin Necas,C,11,69,0.15942029,5,76,0.065789474,214
8476918,Jimmy Vesey,L,8,84,0.095238095,5,53,0.094339623,215
8474190,Wayne Simmonds,R,3,83,0.036144578,5,54,0.092592593,216
8478542,Evan Rodrigues,C,4,66,0.060606061,5,54,0.092592593,217
8479291,Kevin Rooney,C,2,49,0.040816327,5,53,0.094339623,218
8478440,Dylan Strome,C,8,70,0.114285714,5,51,0.098039216,219
8480012,Elias Pettersson,C,19,92,0.206521739,5,32,0.15625,220
8478831,Kevin Stenlund,C,3,42,0.071428571,5,38,0.131578947,221
8475164,Jakob Silfverberg,R,13,108,0.12037037,5,63,0.079365079,222
8478413,Jordan Greenway,L,8,85,0.094117647,5,71,0.070422535,223
8478109,Victor Olofsson,L,7,73,0.095890411,5,90,0.055555556,224
8477406,Mattias Janmark,C,3,69,0.043478261,5,63,0.079365079,225
8480829,Jesperi Kotkaniemi,C,5,42,0.119047619,5,66,0.075757576,226
8476393,Nick Cousins,C,7,98,0.071428571,5,56,0.089285714,227
8479393,Noah Gregor,C,2,31,0.064516129,5,57,0.087719298,228
8477497,Sean Monahan,C,11,123,0.089430894,5,70,0.071428571,229
8476882,Teuvo Teravainen,L,8,108,0.074074074,5,40,0.125,230
8470606,Dustin Brown,R,13,140,0.092857143,5,93,0.053763441,231
8471276,David Krejci,C,5,55,0.090909091,5,68,0.073529412,232
8474709,Matt Martin,L,5,49,0.102040816,5,65,0.076923077,233
8475168,Matt Duchene,C,8,92,0.086956522,4,52,0.076923077,234
8479368,Max Jones,L,7,84,0.083333333,4,65,0.061538462,235
8476329,Travis Boyd,C,3,21,0.142857143,4,19,0.210526316,236
8476442,Matt Nieto,L,6,78,0.076923077,4,41,0.097560976,237
8479580,Dylan Gambrell,C,5,40,0.125,4,45,0.088888889,238
8475235,Nicolas Deslauriers,L,7,61,0.114754098,4,62,0.064516129,239
8475287,Erik Haula,L,8,64,0.125,4,62,0.064516129,240
